Razão Social;CNPJ;Endereço;BAIRRO;CEP;UF;MUNICÍPIO
POSTO CANAL ALPHA LTDA;05289078000191;RUA PADRE GERMANO MAYER,  561;ALTO DA RUA XV;80045245;PR;CURITIBA
AUTO POSTO GAIA LTDA;05620423000128;AVENIDA REPUBLICA ARGENTINA,  2000;ÁGUA VERDE;80620010;PR;CURITIBA
DUCATI AUTO POSTO LTDA;06302712000141;RUA CLAUDIO PAULINO DARIVA,  304;BOA VISTA;82540210;PR;CURITIBA
AUTO POSTO LUA CRESCENTE LTDA;07069427000195;RUA DOUTOR BARRETO COUTINHO,  25;SANTA CANDIDA;82640050;PR;CURITIBA
AUTO POSTO SAN MICHAEL LTDA;09076924000146;RUA JOAO BETTEGA,  3015;CIDADE INDUSTRIAL;81350000;PR;CURITIBA
AUTO POSTO LUZ DA LUA LTDA;09089449000142;RUA DO SEMEADOR,  65;CIC;81270050;PR;CURITIBA
AUTO POSTO JARDIM TIMBORI LTDA;09164462000119;RUA PRESIDENTE JOAO GOULART,  2070;TATUQUARA;81470470;PR;CURITIBA
COMERCIO DE COMBUSTIVEIS MORRO VERMELHO LTDA;11067994000180;RUA ANTONIO ZANON,  1595;TATUQUARA;81480150;PR;CURITIBA
AUTO POSTO FOLLONI EIRELI;11281204000164;RUA ALBERTO FOLLONI,  520;JUVEVE;80540000;PR;CURITIBA
AUTO POSTO ANGRA BATEL COMERCIO DE COMBUSTIVEIS LTDA;12759476000190;AVENIDA SETE DE SETEMBRO,  4814;BATEL;80240000;PR;CURITIBA
PETRO KENNEDY COMERCIO E TRANSPORTE DE COMBUSTIVEIS LTDA;15119679000100;AVENIDA PRESIDENTE KENNEDY,  2603;AGUA VERDE;80610010;PR;CURITIBA
AUTO POSTO ECOXAXIM LTDA;17176987000100;RUA FRANCISCO DEROSSO,  1762;XAXIM;81720000;PR;CURITIBA
AUTO POSTO FLIX LTDA.;17906800000179;RUA DOUTOR BLEY ZORNIG,  857;BOQUEIRAO;81730350;PR;CURITIBA
PASSIONE COMERCIO DE COMBUSTIVEIS LTDA;19715502000127;RUA MARECHAL OCTAVIO SALDANHA MAZZA,  8427;CAPAO RASO;81150060;PR;CURITIBA
AUTO POSTO VALENCIA LTDA;22552516000181;AVENIDA MARECHAL FLORIANO PEIXOTO,  3859;PAROLIN;80220001;PR;CURITIBA
AUTO POSTO SEMINARIO LTDA;23844989000115;AVENIDA NOSSA SENHORA APARECIDA,  270;SEMINARIO;80440000;PR;CURITIBA
PATIO CONTORNO COMERCIO DE COMBUSTIVEIS LTDA;23848835000100;AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,  2191;CIDADE INDUSTRIAL;81280140;PR;CURITIBA
AUTO POSTO PETRO PIMPA LTDA;24194214000104;RUA JOAO NEGRAO,  1240;REBOUCAS;80230150;PR;CURITIBA
AUTO POSTO AVENTADOR LTDA;28998910000124;AVENIDA PREFEITO ERASTO GAERTNER,  308;BACACHERI;82510160;PR;CURITIBA
AUTO POSTO JARDIM SOCIAL LTDA;30079522000191;RUA PERCY FELICIANO DE CASTILHO,  185;BAIRRO ALTO;82820380;PR;CURITIBA
AUTO POSTO TAMARINDO LTDA;31457540000122;RUA PROFESSORA  JOANITA BERNETT PASSOS,  1561;BOQUEIRÃO;81730390;PR;CURITIBA
REDE VIA EXPRESSA DEROSSO COMERCIO DE COMBUSTIVEIS LTDA;31591485000169;RUA FRANCISCO DEROSSO,  3559;ALTO BOQUEIRAO;81720235;PR;CURITIBA
AUTO POSTO ORLEANS LTDA;32603313000120;RUA PROFESSOR JOAO FALARZ,  507;ORLEANS;81280270;PR;CURITIBA
AUTO POSTO RIBEIRA III LTDA;32766512000150;ESTRADA DA RIBEIRA BR-476,  517;ATUBA;82860000;PR;CURITIBA
AUTO POSTO TEXAS FUEL LTDA;33012254000189;RUA MATEUS LEME,  5761;ABRANCHES;82130085;PR;CURITIBA
AUTO POSTO CURUPAITIS LTDA;33673554000109;RUA CURUPAITIS,  1379;SANTA QUITERIA;80310180;PR;CURITIBA
REDE VIA EXPRESSA KENNEDY COMERCIO DE COMBUSTIVEIS LTDA;34072494000131;AVENIDA PRESIDENTE KENNEDY,  740;REBOUCAS;80220200;PR;CURITIBA
AUTO POSTO ZAGONEL LTDA;34101602000157;RUA PEDRO ZAGONEL,  1703;NOVO MUNDO;81501110;PR;CURITIBA
AUTO POSTO JLS LTDA;34159229000195;RUA ITUPAVA,  465;ALTO DA GLORIA;80060272;PR;CURITIBA
AUTO POSTO MUSEU LTDA;34755905000193;RUA MARECHAL HERMES,  1214;AHU;80540293;PR;CURITIBA
AUTO POSTO HURACAN LTDA;35299223000186;RUA DOM BOSCO,  753;NOVO MUNDO;81050330;PR;CURITIBA
AUTO POSTO QUALITA LTDA;35754255000124;AVENIDA VICTOR FERREIRA DO AMARAL,  3643;BAIRRO ALTO;82810350;PR;CURITIBA
AUTO POSTO ARIZONA LTDA;36518530000173;RUA RAPOSO TAVARES,  1630;PILARZINHO;82100452;PR;CURITIBA
AUTO POSTO HUGO SIMAS COMBUSTIVEIS E  CONVENIENCIAS LTDA;36697963000133;AVENIDA DESEMBARGADOR HUGO SIMAS,  700;BOM RETIRO;80520250;PR;CURITIBA
AUTO POSTO VPC LTDA;37562183000149;AVENIDA PRESIDENTE GETULIO VARGAS,  2363;AGUA VERDE;80240040;PR;CURITIBA
POSTO LINHA VERDE LTDA;38824625000221;AVENIDA MARECHAL FLORIANO PEIXOTO,  7825;BOQUEIRAO;81650000;PR;CURITIBA
AUTO POSTO TIO ZICO VII LTDA;39544938000108;RUA MATEUS LEME,  4365;SAO LOURENCO;82200000;PR;CURITIBA
AUTO POSTO VICENZA LTDA;39859223000144;RUA ENGENHEIRO JOAO BLEY FILHO,  947;PINHEIRINHO;81870370;PR;CURITIBA
AUTO POSTO BOULEVARD LTDA;39859257000139;RUA FRANCISCO DEROSSO,  1201;XAXIM;81710000;PR;CURITIBA
AUTO POSTO RAVENA LTDA;39859431000143;AVENIDA PRESIDENTE WENCESLAU BRAZ,  284;PAROLIN;81030030;PR;CURITIBA
AUTO POSTO AGUA VERDE LTDA;40748960000159;AVENIDA AGUA VERDE,  739;AGUA VERDE;80620200;PR;CURITIBA
AUTO POSTO MONACO LTDA;41067939000150;RUA FAGUNDES VARELA,  1583;BACACHERI;82520702;PR;CURITIBA
AUTO POSTO DUE FRATELLI LTDA;41851490000117;RUA DOUTOR LEAO MOCELLIN,  28;SANTA FELICIDADE;82030230;PR;CURITIBA
AUTO POSTO PETROLS CURITIBA LTDA;41947413000165;AVENIDA SETE DE SETEMBRO,  2578;CENTRO;80230085;PR;CURITIBA
AUTO POSTO MARECHAL PAROLIN LTDA;41991218000132;AVENIDA MARECHAL FLORIANO PEIXOTO,  4184;PAROLIN;80220001;PR;CURITIBA
GERMANIA COMBUSTIVEIS LTDA;42405351000122;RUA DA TRINDADE,  40;CAJURU;82920120;PR;CURITIBA
AUTO POSTO PILARZINHO LTDA;43577059000150;AVENIDA DESEMBARGADOR HUGO SIMAS,  2078;BOM RETIRO;80520251;PR;CURITIBA
AUTO POSTO AFONSO PENA LTDA;43691842000140;RUA TREZE DE MAIO,  260;CENTRO;80020270;PR;CURITIBA
AUTO POSTO BRAZ LTDA;45855959000147;RUA MEM DE SÁ,  189;GUAÍRA;81010110;PR;CURITIBA
AUTO POSTO TARUMA CURITIBA LTDA;46290531000167;AVENIDA VICTOR FERREIRA DO AMARAL,  760;TARUMA;82530230;PR;CURITIBA
AUTO POSTO SQ CURITIBA LTDA;46381084000151;RUA JOÃO ALENCAR GUIMARÃES,  2232;CAMPO COMPRIDO;81220190;PR;CURITIBA
AUTO POSTO TIO ZICO VIII LTDA;46708695000161;AV SETE DE SETEMBRO,  3205;REBOUÇAS;80230010;PR;CURITIBA
AUTO POSTO ZAKA CHAMPAGNAT LTDA;46803525000166;AVENIDA CÂNDIDO HARTMANN,  877;BIGORRILHO;80710542;PR;CURITIBA
POSTO ZAKA CAJURU LTDA;46892512000100;RUA ARLINDO ROCHA,  200;CAJURU;82920180;PR;CURITIBA
POSTO ZAKA ALTO DA XV LTDA;46892551000108;RUA XV DE NOVEMBRO,  3040;ALTO DA RUA XV;80045340;PR;CURITIBA
COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411061023;AVENIDA PRESIDENTE KENNEDY,  1061;REBOUCAS;80220201;PR;CURITIBA
AUTO POSTO GRACIOSA LTDA;47836520000100;AVENIDA NOSSA SENHORA DA LUZ,  750;CABRAL;82510020;PR;CURITIBA
AUTO POSTO MATEUS LEME LTDA;49119625000166;RUA SENADOR XAVIER DA SILVA,  444;CENTRO CÍVICO;80530060;PR;CURITIBA
POSTO TIO ZICO HAUER LTDA;50318883000150;RUA PRESIDENTE PADUA FLEURY,  1282;HAUER;81630240;PR;CURITIBA
POSTO DE SERVICOS ROSARIO LTDA;75063297000133;RUA GERALDO GUSTAVO OSCAR MULLER,  90;BOA VISTA;82540094;PR;CURITIBA
TIC POSTO LTDA;75635573000190;AVENIDA SENADOR SALGADO FILHO,  2992;UBERABA;81570000;PR;CURITIBA
TIC POSTO LTDA;75635573000271;AVENIDA COMENDADOR FRANCO,  5175;UBERABA;81560000;PR;CURITIBA
TIC POSTO LTDA;75635573000514;RUA VICENTE MICHELOTTO,  3455;CIDADE INDUSTRIAL;81460010;PR;CURITIBA
TIC POSTO LTDA;75635573000603;AVENIDA PREFEITO ERASTO GAERTNER,  1600;BACACHERI;82515000;PR;CURITIBA
POSTO ILHABELA LTDA;75925511000113;RUA MAL FLORIANO PEIXOTO,  8326;BOQUEIRAO;81670000;PR;CURITIBA
CELSO TETU E CIA LTDA;76494327000200;AVENIDA GENERAL MARIO TOURINHO,  013;CAMPINA DO SIQUEIRA;80740000;PR;CURITIBA
REDE VPR DE COMBUSTIVEIS E SERVICOS LTDA;77159663000188;RUA JERONIMO DURSKI,  1195;CAMPINA DO SIQUEIRA;80730290;PR;CURITIBA
REDE VPR DE COMBUSTIVEIS E SERVICOS LTDA;77159663000269;RUA MAJOR HEITOR GUIMARAES,  1453;CAMPINA DO SIQUEIRA;80740340;PR;CURITIBA
ROTA SUL AUTO POSTO LTDA;78793957000120;RODOVIA BR 116,  5090;HIGIENÓPOLIS;80520200;PR;CURITIBA
POSTOS PELANDA COMBUSTIVEIS LTDA;78901915000912;AVENIDA SETE DE SETEMBRO,  1581;CRISTO REI;80050255;PR;CURITIBA
POSTOS PELANDA COMBUSTIVEIS LTDA;78901915001307;RODOVIA BR CENTO E DEZESSEIS,  28578;CAMPO DE SANTANA;81690500;PR;CURITIBA
CONDOR AUTO POSTO LTDA;79052460000385;AVENIDA MARECHAL FLORIANO PEIXOTO,  10868;ALTO BOQUEIRAO;81730000;PR;CURITIBA
CONDOR AUTO POSTO LTDA;79052460000466;RUA DOS PIONEIROS,  1530;SITIO CERCADO;81910080;PR;CURITIBA
AUTO POSTO ROSANE LTDA;79340840000153;AVENIDA MAL. HUMERTO A. C. BRANCO,  1011;CAJURU;82530020;PR;CURITIBA
AUTO POSTO CAPRI LTDA;79540738000100;AVENIDA DOS ESTADOS,  157;VL GUAIRA;80610040;PR;CURITIBA
AUTO POSTO DAS TARTARUGAS LTDA;80786031000159;AVENIDA SENADOR SALGADO FILHO,  405;PRADO VELHO;80215270;PR;CURITIBA
POSTO TREVISO LTDA;81056046000124;RUA VIA VENETO,  1058;SANTA FELICIDADE;82020470;PR;CURITIBA
AUTO POSTO MPP LTDA;81663700000168;RUA ALBERICO FLORES BUENO,  000525;BAIRRO ALTO;82840170;PR;CURITIBA
POSTO MARU S.A.;81894297000188;RUA ANA BERTA ROSKAMP,  15;JD.DAS AMERICAS;81530250;PR;CURITIBA
POSTO MARU S.A.;81894297000692;RODOVIA CURITIBA PARANAGUA BR-277,  2153;CAJURU;82940375;PR;CURITIBA
POSTO SILVA JARDIM LTDA;82275678000141;AVENIDA SILVA JARDIM,  2258;AGUA VERDE;80240020;PR;CURITIBA
AUTO POSTO ORTONA LTDA;85058170000180;RUA ALBERTO FOLLONI,  1181;JUVEVE;80540000;PR;CURITIBA
AUTO POSTO JARDIM IPE LTDA;95367884000123;AVENIDA FREDOLIN WOLF,  4140;SANTA FELICIDADE;82410330;PR;CURITIBA
POSTO JARDIM BOTANICO LTDA;95396289000116;AVENIDA COMENDADOR FRANCO,  1197;JARDIM BOTANICO;80215090;PR;CURITIBA
ALBERTI COMERCIO DE DERIVADOS DE PETROLEO LTDA;95397790000105;RUA JOAO ANTONIO XAVIER,  344;AGUA VERDE;80620360;PR;CURITIBA
ABASTECEDORA DE COMBUSTIVEIS MENINO DEUS LTDA.;00355670000120;AVENIDA JOSE DE ALENCAR,  399;MENINO DEUS;90880481;RS;PORTO ALEGRE
COMERCIAL DE COMBUSTIVEIS SELAU LTDA;00408602000182;AVENIDA CRUZEIRO DO SUL,  2081;SANTA TEREZA;90001970;RS;PORTO ALEGRE
POSTO DE SERVICOS ANCHIETA LTDA;00851536000110;AVENIDA DOUTOR NILO PECANHA,  1342;BOA VISTA;91330002;RS;PORTO ALEGRE
GARAGEM SUPREMA LTDA - EPP;01088503000123;AVENIDA CEARA,  1377;SAO GERALDO;90240511;RS;PORTO ALEGRE
FAURI COMERCIO DE COMBUSTIVEIS LTDA;01268307000130;AVENIDA NILO PECANHA,  95;PETROPOLIS;90470001;RS;PORTO ALEGRE
AUTO POSTO BOA VIAGEM LTDA;02463295000320;AVENIDA A.J. RENNER,  2255;HUMAITA;90250000;RS;PORTO ALEGRE
F & H COMERCIO DE COMBUSTIVEIS EIRELI;05662972000165;RUA SAO MANOEL,  2250;PARTENON;90620110;RS;PORTO ALEGRE
COMÉRCIO DE COMBUSTÍVEIS LASSARI LTDA.;07013898000181;AVENIDA IPIRANGA,  3884;AZENHA;90610000;RS;PORTO ALEGRE
DISTRIBUIDORA DE COMBUSTIVEIS SAVAR LTDA;07045622000185;AVENIDA DOS ESTADOS,  2341;ANCHIETA;90200001;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS PORTO ALEGRE LTDA;08689190000108;AVENIDA LOUREIRO DA SILVA,  1630;CIDADE BAIXA;90050240;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS DICO LTDA;08768465000107;AVENIDA FARRAPOS,  265;FLORESTA;90220004;RS;PORTO ALEGRE
COMBUSTIVEIS PEGASUS IPIRANGA LTDA;08786193000160;AVENIDA IPIRANGA,  2495;AZENHA;90160091;RS;PORTO ALEGRE
COMERCIAL DE COMBUSTIVEL CAMINHO VERDE LTDA;10337187000177;AVENIDA JOAO WALLIG,  724;PASSO DA AREIA;91340000;RS;PORTO ALEGRE
POSTO DE SERVICOS 2Z LTDA.;10616598000100;RUA PROFESSOR CRISTIANO FISCHER,  1272;PETROPOLIS;91410000;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS SAO CHICO LTDA.;10779589000121;AVENIDA PRINCESA ISABEL,  688;SANTANA;90620000;RS;PORTO ALEGRE
MOTTA PINHEIRO - COMERCIO DE COMBUSTIVEIS EIRELI;11368493000133;AVENIDA DA CAVALHADA,  4260;CAVALHADA;91740000;RS;PORTO ALEGRE
AUTO POSTO ALMIRANTE LTDA;11393320000418;AVENIDA BORGES DE MEDEIROS,  2205;PRAIA DE BELAS;90110150;RS;PORTO ALEGRE
R TAUBE POSTO DE COMBUSTIVEIS E CONVENIENCIAS LTDA;13793895000100;AVENIDA CHUI,  75;CRISTAL;90820080;RS;PORTO ALEGRE
POSTO DE SERVICOS 3Z LTDA.;14169952000148;AVENIDA SATURNINO DE BRITO,  1018;VILA JARDIM;91320000;RS;PORTO ALEGRE
SANTA CLARA COMERCIO DE COMBUSTIVEIS LTDA;14239832000170;AVENIDA CORONEL MARCOS,  1140;PEDRA REDONDA;91760000;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS 4Z LTDA;14809233000144;AVENIDA FARRAPOS,  858;FLORESTA;90220000;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS AVENIDA IPIRANGA EIRELI;17634968000172;AVENIDA IPIRANGA,  4850;AZENHA;90610000;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS ALICAFE LTDA;18314200000184;AVENIDA PROTASIO ALVES,  12403;MARIO QUINTANA;91260000;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS E CONVENIENCIAS CAMINHO DO GOL LTDA;20890807000154;AVENIDA PADRE CACIQUE,  970;PRAIA DE BELAS;90810240;RS;PORTO ALEGRE
VAZ COMERCIO DE COMBUSTIVEIS LTDA;27272187000210;AVENIDA BRASIL,  1237;NAVEGANTES;90230061;RS;PORTO ALEGRE
GB COMERCIO DE COMBUSTIVEIS EIRELI;27580127000183;RUA BARAO DO AMAZONAS,  1144;PETROPOLIS;90670001;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEL EDGAR PIRES LTDA;27873422000128;AVENIDA EDGAR PIRES DE CASTRO,  3707;CHAPEU DO SOL;91786599;RS;PORTO ALEGRE
COMERCIO DE COMBUSTIVEIS BENTO 919 LTDA;32858937000199;AVENIDA BENTO GONCALVES,  919;PARTENON;90650002;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS HIPICA LTDA;33393956000150;AVENIDA EDGAR PIRES DE CASTRO,  615;HIPICA;91787889;RS;PORTO ALEGRE
SANTO COMERCIO DE COMBUSTIVEIS LTDA;34169701000170;AVENIDA PROTASIO ALVES,  1760;PETROPOLIS;90410006;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS DA FELIX LTDA;34488405000132;AVENIDA CRISTOVAO COLOMBO,  1867;FLORESTA;90560004;RS;PORTO ALEGRE
COMERCIAL DE COMBUSTIVEIS PR LTDA;36905276000166;AVENIDA CARLOS GOMES,  31;AUXILIADORA;90480003;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS CAMINHO DO GOL LTDA;40921123000180;AVENIDA DOS ESTADOS,  75;ANCHIETA;90200000;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS MIRELA LTDA;41515783000123;RUA SILVA SO,  371;SANTA CECILIA;90610270;RS;PORTO ALEGRE
COMERCIAL DE COMBUSTIVEIS PR VERDES CAMPOS LTDA;43109121000189;RUA DONARIO NEVES DA SILVEIRA,  20;MARIO QUINTANA;91280145;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS PROTASIO LTDA.;45078699000140;AVENIDA PROTASIO ALVES,  8699;MORRO SANTANA;91260000;RS;PORTO ALEGRE
POSTO ROTA PERIMETRAL DERIVADOS DE PETROLEO LTDA;45104962000129;AVENIDA TERESOPOLIS,  2965;TERESOPOLIS;90870001;RS;PORTO ALEGRE
AUTO POSTO GASOMETRO LTDA;45261236000110;AVENIDA DOS GAUCHOS,  512;SARANDI;91110090;RS;PORTO ALEGRE
COMERCIO DE COMBUSTIVEIS MACIEIRA LTDA;45993033000118;AVENIDA SERTORIO,  3770;JARDIM SAO PEDRO;91040620;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS SERTORIO LTDA;48377686000160;AVENIDA SERTORIO,  3837;JARDIM SAO PEDRO;91040621;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS OTTO NIEMEYER LTDA;48377743000101;AVENIDA OTTO NIEMEYER,  2265;CAMAQUA;91910180;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTIVEIS BARAO DO AMAZONAS LTDA;48377761000193;RUA BARAO DO AMAZONAS,  925;PETROPOLIS;90670004;RS;PORTO ALEGRE
RODA VIII COMERCIO DE COMBUSTIVEIS LTDA;48693768000114;AVENIDA SERTORIO,  1700;SAO JOAO;91020000;RS;PORTO ALEGRE
RODA IX COMERCIO DE COMBUSTIVEIS LTDA;50960980000142;AVENIDA PROF OSCAR PEREIRA,  2728;GLORIA;91710000;RS;PORTO ALEGRE
ABASTECEDORA DE COMBUSTÍVEIS PETRODER LTDA.;72044712000202;AVENIDA MANOEL ELIAS,  555;PASSO DAS PEDRAS;91240260;RS;PORTO ALEGRE
COMERCIAL DE COMBUSTIVEIS LB LTDA;74201401000146;AVENIDA ASSIS BRASIL,  3801;CRISTO REDENTOR;91010007;RS;PORTO ALEGRE
DIOGA REVENDEDORA DE OLEOS E GASOLINA LTDA;87061016000192;AVENIDA WENCESLAU ESCOBAR,  2898;TRISTEZA;91900000;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997000110;AVENIDA ASSIS BRASIL,  1745;PASSO DAREIA;91010005;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997000382;AVENIDA JUCA BATISTA,  4329;HIPICA;91755000;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997000544;AVENIDA JUCA BATISTA,  1060;CAVALHADA;91770000;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997000625;AVENIDA EDGAR PIRES DE CASTRO,  1800;HIPICA;91787878;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997000706;AVENIDA CAVALHADA,  3021;CAVALHADA;91740001;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997000978;AVENIDA VICENTE MONTEGGIA,  1441;CAVALHADA;91740290;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997001001;AVENIDA WENCESLAU ESCOBAR,  1164;TRISTEZA;91910712;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997001192;AVENIDA WENCESLAU ESCOBAR,  2226;TRISTEZA;91910154;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997001273;AVENIDA DA SERRARIA,  1144;ESPIRITO SANTO;91770010;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997001354;AVENIDA CAIRU,  1167;NAVEGANTES;90230031;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997001516;RUA VOLUNTARIOS DA PATRIA,  3698;NAVEGANTES;90230010;RS;PORTO ALEGRE
REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA;87091997002679;AVENIDA DA CAVALHADA,  3833;CAVALHADA;91740001;RS;PORTO ALEGRE
GARAGEM RIO BRANCO LTDA;87554036000103;RUA CABRAL,  60/80;BOM FIM;90420120;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS ALICAR LTDA;90238825000131;AVENIDA BENTO GONCALVES,  4937;PARTENON;91540000;RS;PORTO ALEGRE
POSTO DE COMBUSTIVEIS ALICAR LTDA;90238825000212;AVENIDA BENTO GONCALVES,  4985;SAO JOSE;91540000;RS;PORTO ALEGRE
GARAGEM PARQUE DO ARVOREDO LTDA;92169218000192;AVENIDA BALTAZAR OLIVEIRA GARCIA,  845/865;PASSO DA MANGUEIRA;91130001;RS;PORTO ALEGRE
GARAGEM FORMULA 3 LTDA;92576073000144;AVENIDA JOAO WALLIG,  735;PASSO DA AREIA;91340000;RS;PORTO ALEGRE
GARAGEM SIQUEIRA CAMPOS SOCIEDADE SIMPLES LTDA;92956176000130;RUA SIQUEIRA DE CAMPOS,  866;CENTRO;90010000;RS;PORTO ALEGRE
GARAGEM JOCKEY LTDA;92974351000111;AVENIDA CAPIVARI,  335;CRISTAL;90810070;RS;PORTO ALEGRE
GARAGEM BELEM LTDA;93234086000106;AVENIDA VENANCIO AIRES,  399;CIDADE BAIXA;90040193;RS;PORTO ALEGRE
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA;93489243001198;AVENIDA ASSIS BRASIL,  8620;SARANDI;91140001;RS;PORTO ALEGRE
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA;93489243003301;AVENIDA ASSIS BRASIL,  8207;SARANDI;91140001;RS;PORTO ALEGRE
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA;93489243004103;AVENIDA FARRAPOS,  361;CENTRO;90220004;RS;PORTO ALEGRE
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA;93489243004294;RUA VOLUNTARIOS DA PATRIA,  2407;FLORESTA;90230011;RS;PORTO ALEGRE
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA;93489243004375;RUA FERNANDO GOMES,  221;MOINHOS DE VENTO;90510010;RS;PORTO ALEGRE
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA;93489243004456;AVENIDA VICENTE MONTEGGIA,  131;CAVALHADA;91740290;RS;PORTO ALEGRE
SHOPPING COMERCIAL E ABAST DE PROD DE PETROLIO C S LTDA;97094775000105;AVENIDA JOAO WALLIG,  1903;CHACARA DAS PEDRAS;91340001;RS;PORTO ALEGRE
AUTO POSTO TALISMA LTDA;00087804000170;RUA GAL. EURICO GASPAR DUTRA,  1375;ESTREITO;88070000;SC;FLORIANOPOLIS
COLONIAL PRODUTOS E SERVICOS LTDA;00108775000185;AVENIDA MAURO RAMOS,  2010;CENTRO;88020302;SC;FLORIANOPOLIS
AVILA COMERCIO DE COMBUSTIVEIS LTDA;01401005000199;RODOVIA FRANCISCO MAGNO VIEIRA,  375;COSTEIRA DO PIRAJUBAE;88048000;SC;FLORIANOPOLIS
AVILA COMERCIO DE COMBUSTIVEIS LTDA;01401005000350;AVENIDA LUIZ BOITEUX PIAZZA,  2761;CACHOEIRA BOM JESUS;88054700;SC;FLORIANOPOLIS
VILA RICA COM DE COMBUSTIVEL LTDA;02314908000286;AVENIDA MAURO RAMOS,  390;CENTRO;88020300;SC;FLORIANOPOLIS
POSTO CORREGO GRANDE LTDA;02476506000105;RUA JOAO PIO DUARTE SILVA,  298;CORREGO GRANDE;88037000;SC;FLORIANOPOLIS
POSTO AVIAO LTDA;02742589000129;RUA DEP DIOMICIO FREITAS,  SN;CARIANOS;88047001;SC;FLORIANOPOLIS
AUTO POSTO DA VOVO LTDA.;03799489000100;RUA LAURO LINHARES,  1619;TRINDADE;88036002;SC;FLORIANOPOLIS
POSTO DE SERVIÇOS ILHA BELA LTDA;04094401000109;RODOVIA SC 404,  500;ITACORUBI;88034001;SC;FLORIANOPOLIS
COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES INGLESES LTDA;05377409000145;RODOVIA ARMANDO CALIL BULOS,  5105;VARGEM GRANDE;88058000;SC;FLORIANOPOLIS
POSTO PARQUE SAO JORGE LTDA;09135347000116;RODOVIA ADMAR GONZAGA,  2565;ITACORUBI;88034001;SC;FLORIANOPOLIS
CAMPECHE COMERCIO DE COMBUSTIVEIS LTDA;13094294000100;RODOVIA SC 405,  2859;CAMPECHE;88065000;SC;FLORIANOPOLIS
AJG COMERCIO DE COMBUSTIVEL LTDA;17016859000191;ESTRADA VEREADOR ONILDO LEMOS,  717;INGLESES DO RIO VERMELHO;88058700;SC;FLORIANOPOLIS
AUTO POSTO MONTE VERDE LTDA;23830528000193;ROD. VIRGÍLIO VÁRZEA,  460;MONTE VERDE;88032000;SC;FLORIANOPOLIS
POSTO CAPOEIRAS LTDA;28532730000152;RUA PARALELA NOVO HORIZONTE,  3530;CAPOEIRAS;88090067;SC;FLORIANOPOLIS
GDI COMERCIO DE COMBUSTIVEIS LTDA;33103091000220;AVENIDA JOSUÉ DI BERNARDI,  505;CAPOEIRAS;88095720;SC;FLORIANOPOLIS
POSTO CENTRAL COMERCIO DE COMBUSTIVEIS EIRELI;33863296000123;RUA CRISPIM MIRA,  179;CENTRO;88020540;SC;FLORIANOPOLIS
